1;1;4;6;
2;2;2;3;
8;3;2;5;
9;4;5;8;
11;5;3;3;
16;6;3;6;
16;7;3;7;
17;8;4;2;
19;9;2;9;
23;10;1;9;
24;11;4;8;
24;12;2;6;
25;13;3;5;
28;14;2;5;
37;15;2;8;
38;16;2;7;
40;17;1;1;
42;18;3;8;
46;19;4;2;
49;20;5;2;
52;21;1;10;
54;22;4;7;
54;23;1;6;
56;24;5;1;
57;25;3;8;
58;26;5;1;
63;27;5;2;
76;28;3;10;
78;29;5;8;
80;30;3;10;
81;31;1;4;
82;32;3;6;
84;33;4;4;
91;34;2;3;
95;35;4;10;
96;36;4;1;
96;37;2;4;
98;38;4;7;
101;39;3;5;
103;40;1;9;
104;41;3;9;
105;42;4;8;
107;43;4;7;
111;44;5;3;
116;45;5;7;
117;46;4;7;
